ID,name,s4CuId,s4CuType,s4TaskListId,s4ObjNr
9d55240c-471b-46bb-b9f6-f281775351e1,"Pole, Wood, 100', CLH1",EOHXPL_WP__554380,"Pole, Wood, 100', CLH1",00003881,CU00000000000014013067
9b736531-5728-4b6f-ac85-692f8026611e,"Pole, Wood, 50', CLH3",EOH_PL_WP__305122,"Pole, Wood, 50', CLH3",00014950,CU00000000000067327453
e8c8dda5-a885-4205-aa5f-e75268c64462,"Pole, Wood, 95', CL2",EOH_PL_WP__305244,"Pole, Wood, 95', CL2",00015165,CU00000000000068921973
2e65c15f-f4fb-4339-ae4a-dd18516f0325,"Pole, Wood, 105', CLH3",EOH_PL_WP__305266,"Pole, Wood, 105', CLH3",00015166,CU00000000000068921998
6a175f9e-d95e-4cdd-b1ae-4d67a1de75a6,"Pole, Wood, 105', CL1",EOH_PL_WP__305267,"Pole, Wood, 105', CL1",00015167,CU00000000000068921999
0ad5eb4b-ba8b-43fb-9fc9-355c2699cb00,"Pole, Wood, 100', CL1",EOH_PL_WP__305268,"Pole, Wood, 100', CL1",00015168,CU00000000000068922000
c35939d8-b214-4cec-9821-dbef32ae4cdc,"Pole, Wood, 100', CL2",EOH_PL_WP__305269,"Pole, Wood, 100', CL2",00015169,CU00000000000068922001
79929c68-d9d7-439d-b726-8755043daa7c,"Pole, Wood, 100', CLH3",EOH_PL_WP__305270,"Pole, Wood, 100', CLH3",00015170,CU00000000000068922002
87b559a3-a484-4f53-bacd-a07e137cd74a,"Pole, Wood, 95', CLH5",EOH_PL_WP__305398,"Pole, Wood, 95', CLH5",00015695,CU00000000000104838094
124e3867-349e-4090-bdcb-0c12a249c9b5,"Pole, Wood, 100', CLH2",EOH_PL_WP__554420,"Pole, Wood, 100', CLH2",00002554,CU00000000000014011115
a0bcccf9-3055-43c6-8aff-fead84093a28,"Pole, Wood, 105', CLH1",EOH_PL_WP__554540,"Pole, Wood, 105', CLH1",00002556,CU00000000000014011116
0f8ea5fa-a44c-4fc0-9e53-2928c5933747,"Pole, Wood, 105', CLH2",EOH_PL_WP__554560,"Pole, Wood, 105', CLH2",00002557,CU00000000000014011117
2b00f323-f0ca-4a30-8cb4-6b2c397246aa,"Pole, Wood, 25', CL6",EOH_PL_WP__555460,"Pole, Wood, 25', CL6",00002559,CU00000000000014011118
2329c43a-0a6f-428a-9ee8-e12ec7f0af6d,"Pole, Wood, 25', CL1",EOH_PL_WP__555480,"Pole, Wood, 25', CL1",00005718,CU00000000000014011119
8d1a188b-baf2-4855-8cfc-8449feb16aff,"Pole, Wood, 25', CL2",EOH_PL_WP__555620,"Pole, Wood, 25', CL2",00002560,CU00000000000014011120
4d685708-2b47-4b5f-87d7-140d174b6947,"Pole, Wood, 25', CL3",EOH_PL_WP__555760,"Pole, Wood, 25', CL3",00002562,CU00000000000014011121
f7013d23-b611-4589-938e-f9a5322525b1,"Pole, Wood, 25', CL4",EOH_PL_WP__555900,"Pole, Wood, 25', CL4",00002563,CU00000000000014011122
5d550313-46d9-46c2-aebc-95cb9c5766aa,"Pole, Wood, 25', CL5",EOH_PL_WP__556040,"Pole, Wood, 25', CL5",00002564,CU00000000000014011123
e54e1ab0-c6e4-403d-88df-8639ebb4d6cc,"Pole, Wood, 30', CL5",EOH_PL_WP__556730,"Pole, Wood, 30', CL5",00002567,CU00000000000014011125
49b1146b-ef18-4fe5-b574-a50c7b647359,"Pole, Wood, 30', CL1",EOH_PL_WP__556750,"Pole, Wood, 30', CL1",00002569,CU00000000000014011126
744a317a-036a-4778-b2a5-e0ceff33ef14,"Pole, Wood, 30', CL2",EOH_PL_WP__556890,"Pole, Wood, 30', CL2",00002570,CU00000000000014011127
4c500221-37ed-45dc-adca-7fae1956a516,"Pole, Wood, 30', CL3",EOH_PL_WP__557030,"Pole, Wood, 30', CL3",00002572,CU00000000000014011128
0577fa5f-3a6c-4eb8-80ac-d0f4bde905a5,"Pole, Wood, 30', CL4",EOH_PL_WP__557170,"Pole, Wood, 30', CL4",00002573,CU00000000000014011129
4e155c12-22fa-4b3b-a24b-5ae1bf784fbc,"Pole, Wood, 35', CL5",EOH_PL_WP__558140,"Pole, Wood, 35', CL5",00002575,CU00000000000014011130
562bdffe-24e7-4524-a43b-12e0bb0f678b,"Pole, Wood, 35', CL1",EOH_PL_WP__558190,"Pole, Wood, 35', CL1",00002576,CU00000000000014011131
32a7363d-5ecf-44da-83a4-25397e7709cf,"Pole, Wood, 35', CL2",EOH_PL_WP__558330,"Pole, Wood, 35', CL2",00002578,CU00000000000014011132
32a755db-311e-4d22-9e82-29312f1aa2aa,"Pole, Wood, 35', CL3",EOH_PL_WP__558470,"Pole, Wood, 35', CL3",00002579,CU00000000000014011133
